city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,10/49,Pvt Ltd,never,18,1.0
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0
city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1.0
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0
city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,10/49,NGO,1,160,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0
city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,5000-9999,Pvt Ltd,4,21,1.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,2,100,1.0
city_103,0.92,Male,Has relevent experience,Full time course,High School,STEM,4,50-99,Pvt Ltd,1,112,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0
city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,1,198,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0
city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Funded Startup,1,24,1.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105,1.0
city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,1.0
city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,100-500,Funded Startup,3,17,1.0
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0
city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,7,1.0
city_160,0.92,Male,Has relevent experience,Full time course,Graduate,Business Degree,>20,100-500,Pvt Ltd,>4,90,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,202,1.0
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Public Sector,never,80,1.0
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,500-999,Pvt Ltd,2,108,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,8,1.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,never,20,1.0
city_64,0.6659999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,9,10/49,Pvt Ltd,1,19,1.0
city_64,0.6659999999999999,Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,23,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Early Stage Startup,1,107,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,5,1000-4999,Pvt Ltd,1,20,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,1000-4999,Pvt Ltd,1,14,1.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,1,16,1.0
city_12,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,40,1.0
city_104,0.924,Male,No relevent experience,Full time course,Graduate,STEM,2,1000-4999,Pvt Ltd,1,39,1.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,1,9,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Public Sector,1,129,1.0
city_103,0.92,Male,No relevent experience,Full time course,High School,STEM,3,10/49,Pvt Ltd,1,126,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,4,10/49,Pvt Ltd,1,45,1.0
city_102,0.804,Female,Has relevent experience,Part time course,Graduate,STEM,2,50-99,Pvt Ltd,1,95,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,29,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,25,1.0
city_67,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,42,1.0
city_102,0.804,Male,No relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,never,53,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,2,60,1.0
city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,3,50-99,NGO,2,57,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,>4,26,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,>4,8,1.0
city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,3,32,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,2,46,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,23,1.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,4,1000-4999,Public Sector,never,46,1.0
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,never,22,1.0
city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,4,1000-4999,Public Sector,1,52,1.0
city_136,0.897,Male,No relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,4,288,1.0
city_90,0.698,Male,Has relevent experience,Full time course,Masters,STEM,6,50-99,Funded Startup,1,44,1.0
city_11,0.55,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,never,55,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Public Sector,1,198,1.0
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,23,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,98,1.0
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,<10,Pvt Ltd,1,53,1.0
city_71,0.884,Female,Has relevent experience,no_enrollment,Masters,STEM,3,500-999,Pvt Ltd,2,322,1.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,1,72,1.0
city_70,0.698,Male,No relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,2,7,1.0
city_158,0.7659999999999999,Other,Has relevent experience,Full time course,Graduate,STEM,15,5000-9999,Funded Startup,never,30,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,2,61,1.0
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,10,10/49,Pvt Ltd,1,8,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,>4,11,1.0
city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,Arts,9,1000-4999,Pvt Ltd,1,76,1.0
city_162,0.767,Male,Has relevent experience,Part time course,Masters,STEM,6,50-99,Pvt Ltd,1,56,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Primary School,Humanities,2,100-500,Pvt Ltd,never,12,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,13,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,18,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,2,10000+,Pvt Ltd,2,90,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,2,15,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,220,1.0
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,never,47,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,78,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,1,8,1.0
city_103,0.92,Male,Has relevent experience,Full time course,High School,STEM,10,<10,Pvt Ltd,2,81,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,never,18,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,<10,Early Stage Startup,1,25,1.0
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,<10,Early Stage Startup,1,146,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,50,1.0
city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,<1,50-99,Pvt Ltd,never,56,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,82,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,43,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,>4,15,1.0
city_143,0.74,Male,No relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,21,1.0
city_73,0.754,Male,No relevent experience,Part time course,High School,STEM,4,1000-4999,Pvt Ltd,1,280,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,15,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,500-999,Pvt Ltd,2,43,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,54,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,3,11,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,1,74,1.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,3,<10,Pvt Ltd,1,57,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,141,1.0
city_104,0.924,Male,Has relevent experience,Full time course,High School,STEM,8,100-500,Public Sector,1,41,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,2,104,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,44,1.0
city_24,0.698,Female,No relevent experience,no_enrollment,Masters,STEM,7,<10,Early Stage Startup,1,98,1.0
city_158,0.7659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,28,1.0
city_162,0.767,Male,Has relevent experience,Full time course,Graduate,STEM,>20,500-999,Public Sector,never,28,1.0
city_43,0.516,Male,Has relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,1,15,1.0
city_19,0.682,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,2,32,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,11,1.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,3,1000-4999,Public Sector,1,20,1.0
city_28,0.939,Male,No relevent experience,Full time course,Graduate,STEM,7,1000-4999,Public Sector,2,31,1.0
city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Early Stage Startup,1,61,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,10000+,Pvt Ltd,4,168,1.0
city_162,0.767,Male,No relevent experience,Full time course,High School,STEM,4,1000-4999,Pvt Ltd,2,17,1.0
city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,42,1.0
city_94,0.698,Male,Has relevent experience,no_enrollment,High School,STEM,3,50-99,Funded Startup,1,22,1.0
city_160,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,120,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,4,198,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,3,<10,Pvt Ltd,2,18,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,4,80,1.0
city_65,0.802,Female,No relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,1,144,1.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,never,18,1.0
city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,3,31,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,2,47,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,40,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,2,25,1.0
city_11,0.55,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,NGO,2,37,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,never,21,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Primary School,STEM,12,1000-4999,Public Sector,1,70,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Public Sector,1,106,1.0
city_157,0.769,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,NGO,>4,35,1.0
city_102,0.804,Male,No relevent experience,Full time course,Graduate,STEM,3,1000-4999,Pvt Ltd,never,73,1.0
city_104,0.924,Male,No relevent experience,Full time course,Graduate,STEM,13,1000-4999,Pvt Ltd,3,41,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,10/49,Pvt Ltd,1,19,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,>4,116,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,<10,Early Stage Startup,1,78,1.0
city_48,0.493,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,33,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Funded Startup,1,206,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,20,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,100-500,NGO,2,31,1.0
city_145,0.555,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,124,1.0
city_157,0.769,Male,No relevent experience,no_enrollment,Graduate,STEM,11,500-999,Pvt Ltd,2,18,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10/49,Funded Startup,never,24,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Funded Startup,never,11,1.0
city_102,0.804,Male,No relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,2,116,1.0
city_67,0.855,Female,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,2,17,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,1,40,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,High School,STEM,4,<10,Pvt Ltd,1,28,1.0
city_173,0.878,Male,No relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,1,26,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,1,70,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,55,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,23,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,3,48,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,1,103,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Early Stage Startup,3,74,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,71,1.0
city_103,0.92,Other,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Pvt Ltd,1,45,1.0
city_145,0.555,Female,Has relevent experience,Part time course,Masters,STEM,>20,10000+,NGO,3,135,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,6,500-999,NGO,>4,138,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,77,1.0
city_159,0.843,Female,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,1,6,1.0
city_123,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Public Sector,>4,66,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,2,89,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,32,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,17,1.0
city_19,0.682,Male,No relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,72,1.0
city_103,0.92,Male,No relevent experience,Full time course,High School,STEM,4,50-99,Pvt Ltd,1,111,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,17,1.0
city_118,0.722,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Funded Startup,1,12,1.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,1,172,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,2,28,1.0
city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,never,18,1.0
city_134,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10/49,Funded Startup,1,326,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Funded Startup,1,10,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,56,1.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,500-999,Pvt Ltd,never,61,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,1,57,1.0
city_149,0.6890000000000001,Male,No relevent experience,Full time course,High School,STEM,1,50-99,Pvt Ltd,1,30,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,1,48,1.0
city_10,0.895,Female,No relevent experience,Full time course,Graduate,STEM,7,10000+,NGO,1,21,1.0
city_162,0.767,Male,No relevent experience,Full time course,Primary School,STEM,3,100-500,Pvt Ltd,1,50,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Funded Startup,2,20,1.0
city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,45,1.0
city_103,0.92,Male,No relevent experience,Full time course,Graduate,Humanities,<1,50-99,Public Sector,1,196,1.0
city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,21,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,2,94,1.0
city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,9,10000+,Public Sector,2,77,1.0
city_126,0.479,Female,No relevent experience,Part time course,Masters,STEM,9,100-500,Pvt Ltd,1,99,1.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,never,9,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,500-999,Funded Startup,>4,140,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,Funded Startup,1,5,1.0
city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,8,500-999,Pvt Ltd,3,110,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,>4,13,1.0
city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,Funded Startup,1,9,1.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,4,50-99,NGO,never,43,1.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,2,154,1.0
city_126,0.479,Male,No relevent experience,Full time course,Masters,Other,1,10/49,Other,>4,23,1.0
city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,1,50,1.0
city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,6,100-500,Pvt Ltd,never,44,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,4,151,1.0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,1,256,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,3,81,1.0
city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,37,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,never,162,1.0
city_90,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,3,5000-9999,Pvt Ltd,1,83,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,5,1.0
city_36,0.893,Male,Has relevent experience,Full time course,High School,STEM,5,50-99,Funded Startup,2,36,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,97,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,1,57,1.0
city_162,0.767,Male,No relevent experience,Full time course,Masters,STEM,9,100-500,NGO,>4,24,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Funded Startup,2,53,1.0
city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,>4,14,1.0
city_126,0.479,Male,No relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,1,110,1.0
city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,97,1.0
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,7,10000+,Pvt Ltd,never,109,1.0
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,never,35,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Primary School,Humanities,2,100-500,Public Sector,2,50,1.0
